Aquarium,Tadpoles,Leaf Litter Treatment,Sample ID,TOC,TC,IC,TN,Unit,TDP
1,FALSO,Cerrado,joao_01,31.77,36.72,4.943,9.286,mg/L,439.9
2,VERDADEIRO,Cerrado,joao_02,34.46,42.77,8.306,13.35,mg/L,1330.7
3,VERDADEIRO,Pasture,joao_03,65.67,85.21,19.54,20,mg/L,2723.6
4,VERDADEIRO,Pasture,joao_04,50.53,71.53,21,24.25,mg/L,2000.1
5,FALSO,Cerrado,joao_05,33.52,41.31,7.782,12.61,mg/L,1539.9
6,VERDADEIRO,Cerrado,joao_06,34.43,39.2,4.766,5.022,mg/L,816.4
7,VERDADEIRO,Sugarcane,joao_07,36.51,47.83,11.32,7.144,mg/L,2868.8
8,VERDADEIRO,Cerrado,joao_08,38.32,43.61,5.29,5.561,mg/L,1180.6
9,VERDADEIRO,Cerrado,joao_09,38.92,44.1,5.185,9.286,mg/L,1365.2
10,VERDADEIRO,Pasture,joao_10,51.36,70.62,19.26,22.56,mg/L,2637.4
11,FALSO,Cerrado,joao_11,38.98,45.74,6.765,6.389,mg/L,1032.9
12,FALSO,Sugarcane,joao_12,43.44,55.03,11.6,6.792,mg/L,2696.5
13,VERDADEIRO,Sugarcane,joao_13,34.36,44.19,9.828,5.334,mg/L,2622.7
14,FALSO,Pasture,joao_14,53.17,68.93,15.76,14.18,mg/L,1958.2
15,FALSO,Pasture,joao_15,56.24,74.54,18.3,9.768,mg/L,1407
16,VERDADEIRO,Sugarcane,joao_16,41.56,54.9,13.34,14.51,mg/L,2826.9
17,VERDADEIRO,Pasture,joao_17,54.18,74.37,20.18,29.19,mg/L,2425.8
18,VERDADEIRO,Sugarcane,joao_18,42.35,57.67,15.32,20.22,mg/L,2745.7
19,VERDADEIRO,Pasture,joao_19,48.46,62.59,14.13,15.21,mg/L,2954.9
20,VERDADEIRO,Pasture,joao_20,61.05,77.07,16.02,26.72,mg/L,2364.3
21,VERDADEIRO,Sugarcane,joao_21,42.96,50.64,7.679,9.991,mg/L,2807.2
22,VERDADEIRO,Cerrado,joao_22,43.96,48.93,4.971,12.13,mg/L,1896.7
23,VERDADEIRO,Pasture,joao_23,51.12,63.19,12.07,15.67,mg/L,2858.9
24,VERDADEIRO,Cerrado,joao_24,39.85,45.9,6.047,9.202,mg/L,1645.7
25,VERDADEIRO,Pasture,joao_25,53.67,73.99,20.32,23.16,mg/L,2206.8
26,VERDADEIRO,Cerrado,joao_26,44.27,50.4,6.129,16.65,mg/L,1891.8
27,FALSO,Sugarcane,joao_27,46.56,56.74,10.18,9.497,mg/L,3070.6
28,FALSO,Sugarcane,joao_28,35.87,46.27,10.4,5.252,mg/L,2637.4
29,VERDADEIRO,Pasture,joao_29,50.36,66.96,16.59,16.05,mg/L,2024.7
30,VERDADEIRO,Cerrado,joao_30,46.1,50.13,4.029,9.876,mg/L,1311
31,VERDADEIRO,Cerrado,joao_31,41.14,49.04,7.905,16.08,mg/L,2059.1
32,VERDADEIRO,Pasture,joao_32,65.11,82.13,17.02,29.57,mg/L,2642.4
33,VERDADEIRO,Sugarcane,joao_33,39.05,49.6,10.55,6.24,mg/L,2787.6
34,VERDADEIRO,Pasture,joao_34,60.21,73.9,13.69,17.16,mg/L,2499.6
35,VERDADEIRO,Sugarcane,joao_35,41.9,53.52,11.62,6.624,mg/L,2580.8
36,VERDADEIRO,Sugarcane,joao_36,48.04,59.4,11.36,8.315,mg/L,2413.5
37,FALSO,Pasture,joao_37,58.89,75.54,16.65,25.35,mg/L,2231.4
38,FALSO,Pasture,joao_38,60.38,81.02,20.64,23.71,mg/L,1899.2
39,VERDADEIRO,Sugarcane,joao_39,38.8,49.33,10.54,6.921,mg/L,2617.8
40,VERDADEIRO,Cerrado,joao_40,37.97,44.74,6.778,14.52,mg/L,1682.6
41,FALSO,Sugarcane,joao_41,37.07,46.18,9.119,6.569,mg/L,2733.4
42,VERDADEIRO,Sugarcane,joao_42,37.16,47.69,10.53,6.302,mg/L,1891.8
43,VERDADEIRO,Cerrado,joao_43,37.07,41.53,4.454,9.18,mg/L,877.9
44,VERDADEIRO,Pasture,joao_44,52.72,66.72,14,15.14,mg/L,1854.9
45,VERDADEIRO,Sugarcane,joao_45,33.48,42.5,9.022,5.585,mg/L,2433.2
46,VERDADEIRO,Cerrado,joao_46,43.38,47.54,4.161,9.984,mg/L,619.5
47,FALSO,Cerrado,joao_47,39.78,45.56,5.784,16.46,mg/L,1104.3
48,VERDADEIRO,Sugarcane,joao_48,47.18,58.07,10.89,8.617,mg/L,2652.2
