ID,land_use,D_minutus,D_nanus,Scinax,P_nattereri,P_cuvieri,L_fuscus
JT01,cerrado,1,1,1,0,1,0
JT02,cerrado,1,1,1,1,1,1
JT04,cerrado,0,1,0,0,1,1
JT06,cerrado,0,1,0,0,0,0
JT08,cerrado,1,0,1,1,1,1
JT09,cerrado,1,0,1,0,1,1
JT10,cerrado,1,0,1,0,1,1
JT14,cerrado,1,1,1,0,1,1
JT16,cerrado,0,0,1,0,1,0
AMP03,pastagem,1,0,1,1,1,1
AMP06,pastagem,0,1,0,0,1,0
AMP09,pastagem,1,0,1,0,1,1
AMP16,pastagem,0,1,0,0,1,1
AMP17,pastagem,1,1,1,1,1,1
AMP21,pastagem,0,0,1,1,0,0
AMC02,canavial,1,0,1,1,1,1
CC07,canavial,1,1,1,0,1,1
CC08,canavial,1,1,1,0,1,1
CC09,canavial,1,1,0,0,1,1
CC22,canavial,0,0,1,1,0,1
CC23,canavial,0,0,0,1,0,1
CC28,canavial,0,0,0,1,1,1
CC34,canavial,0,0,1,1,0,1
CC38,canavial,1,0,0,1,0,1
CC39,canavial,0,0,0,1,1,1
CC43,canavial,0,0,0,0,0,1
